vb,vl,vrl,prlt,idx,rpd,rpp,vpp,teq,tt,am,total
1891.09,1891.09,687.35,57.1,CDI,0.0222,17.9,1419.27,CDB CDI + 3.06%,16.6,160000.0,2.6
786.75,743.73,243.73,48.75,CDI,0.0222,17.98,589.92,LCI/LCA 102.0% CDI,16.6,160000.0,120.0
1063.69,979.13,479.13,95.83,CDI,0.0222,31.71,658.53,LCI/LCA 102.0% CDI,16.6,120000.0,120.0
78.67,74.37,24.37,48.74,CDI,0.0222,17.98,58.99,LCI/LCA 102.0% CDI,16.6,160000.0,120.0
10636.85,9791.32,4791.32,95.83,CDI,0.0222,31.71,6585.29,LCI/LCA 102.0% CDI,16.6,120000.0,120.0
2148.21,1975.98,975.98,97.6,CDI,0.0222,32.17,1321.75,LCI/LCA 102.0% CDI,16.6,120000.0,120.0
1584.07,1496.46,496.46,49.65,CDI,0.0222,18.27,1182.72,LCI/LCA 102.0% CDI,16.6,160000.0,120.0
1584.07,1496.46,496.46,49.65,CDI,0.0222,18.27,1182.72,LCI/LCA 102.0% CDI,16.6,160000.0,120.0
2148.21,1975.98,975.98,97.6,CDI,0.0222,32.17,1321.75,LCI/LCA 102.0% CDI,16.6,120000.0,120.0
2469.85,2249.37,1249.37,124.94,CDI,0.0222,39.08,1390.77,LCI/LCA 102.0% CDI,16.6,100000.0,120.0
1353.65,1300.61,300.61,30.06,CDI,0.0222,11.68,1116.8,LCI/LCA 102.0% CDI,16.6,180000.0,120.0
2129.96,1960.47,960.47,96.05,CDI,0.0222,31.76,1317.64,LCI/LCA 102.0% CDI,16.6,120000.0,120.0
2495.65,2271.3,1271.3,127.13,CDI,0.0222,39.73,1397.28,LCI/LCA 2.17% CDI,16.55,100000.0,2.55
2495.65,2271.3,1271.3,127.13,CDI,0.0222,39.73,1397.28,LCI/LCA 2.17% CDI,16.55,100000.0,2.55
3680.75,3290.66,2210.5,204.65,CDI,0.0222,56.81,1693.82,LCI/LCA CDI + 2.12%,16.49,73000.0,2.5
3696.44,3296.43,2266.73,220.14,CDI,0.0222,59.84,1645.86,LCI/LCA CDI + 2.12%,16.49,70000.0,2.5
5061.68,5061.68,4040.11,395.48,CDI,0.0215,77.26,1810.86,CDB CDI + 2.82%,16.38,50000.0,2.4
5061.68,5061.68,4040.11,395.48,CDI,0.0215,77.26,1810.86,CDB CDI + 2.82%,16.38,50000.0,2.4
1810.78,1810.78,785.47,76.61,CDI,0.0222,23.37,1264.97,CDB CDI + 2.82%,16.38,140000.0,2.4
1789.51,1789.51,775.63,76.5,CDI,0.0222,23.35,1250.59,CDB CDI + 2.82%,16.38,140000.0,2.4
157.4,148.79,48.79,48.79,CDI,0.0222,18.25,118.25,LCI/LCA 100.72% CDI,16.37,160000.0,118.5
7837.15,7411.58,2411.58,48.23,CDI,0.0222,18.06,5903.1,LCI/LCA 100.72% CDI,16.37,160000.0,118.5
2123.16,1954.69,954.69,95.47,CDI,0.0222,32.17,1321.75,LCI/LCA 2.0% CDI,16.32,120000.0,2.35
2123.16,1954.69,954.69,95.47,CDI,0.0222,32.17,1321.75,LCI/LCA 2.0% CDI,16.32,120000.0,2.35
1570.1,1484.58,484.58,48.46,CDI,0.0222,18.15,1181.54,LCI/LCA 100.3% CDI,16.3,160000.0,118.0
672.61,646.72,146.72,29.34,CDI,0.0222,11.63,558.15,LCI/LCA 100.3% CDI,16.3,190000.0,118.0
1561.65,1477.4,477.4,47.74,CDI,0.0222,17.98,1179.83,LCI/LCA 100.3% CDI,16.3,160000.0,118.0
2100.78,1935.66,935.66,93.57,CDI,0.0222,31.71,1317.06,LCI/LCA 100.3% CDI,16.3,120000.0,118.0
67.26,64.67,14.67,29.34,CDI,0.0222,11.63,55.82,LCI/LCA 100.3% CDI,16.3,190000.0,118.0
7808.26,7387.02,2387.02,47.74,CDI,0.0222,17.98,5899.17,LCI/LCA 100.3% CDI,16.3,160000.0,118.0
7808.26,7387.02,2387.02,47.74,CDI,0.0222,17.98,5899.17,LCI/LCA 100.3% CDI,16.3,160000.0,118.0
90482.02,84409.72,34409.72,68.82,CDI,0.0222,24.61,62307.15,LCI/LCA 100.3% CDI,16.3,140000.0,118.0
105039.02,96783.16,46783.16,93.57,CDI,0.0222,31.71,65852.86,LCI/LCA 100.3% CDI,16.3,120000.0,118.0
78.08,73.87,23.87,47.74,CDI,0.0222,17.98,58.99,LCI/LCA 100.3% CDI,16.3,160000.0,118.0
1346.84,1294.82,294.82,29.48,CDI,0.0222,11.68,1116.8,LCI/LCA 100.3% CDI,16.3,190000.0,118.0
2618.18,2618.18,1576.34,151.3,CDI,0.0215,39.49,1453.29,CDB CDI + 2.65%,16.21,99000.0,2.25
2618.18,2618.18,1576.34,151.3,CDI,0.0215,39.49,1453.29,CDB CDI + 2.65%,16.21,99000.0,2.25
2682.68,2436.73,1393.75,133.63,CDI,0.0215,40.67,1467.15,LCI/LCA CDI + 1.91%,16.21,97000.0,2.25
2682.68,2436.73,1393.75,133.63,CDI,0.0215,40.67,1467.15,LCI/LCA CDI + 1.91%,16.21,97000.0,2.25
2455.16,2236.89,1236.89,123.69,CDI,0.0222,39.79,1397.89,LCI/LCA 99.45% CDI,16.15,100000.0,117.0
1565.97,1481.07,481.07,48.11,CDI,0.0222,18.21,1182.06,LCI/LCA 99.45% CDI,16.15,160000.0,117.0
21087.99,19424.79,9424.79,94.25,CDI,0.0222,32.2,13220.43,LCI/LCA 99.45% CDI,16.15,120000.0,117.0
1.56,1.47,0.47,47.0,CDI,0.0222,17.98,1.18,LCI/LCA 99.45% CDI,16.15,160000.0,117.0
1565.97,1481.07,481.07,48.11,CDI,0.0222,18.27,1182.72,LCI/LCA 99.45% CDI,16.15,160000.0,117.0
