vb,vl,vrl,prlt,idx,rpd,rpp,vpp,teq,tt,am,total
13026.53,12572.55,2572.55,25.73,CDI,0.0222,11.63,11163.08,LCI/LCA 89.42% CDI,14.41,190000.0,105.2
1141.56,1116.79,116.79,11.68,PRÉ,0.0222,5.65,1056.48,LCI/LCA 11.88% PRÉ,14.4,220000.0,14.4
2002.48,2002.48,905.09,82.48,IPCA,0.0215,27.46,1398.74,CDB IPCA + 9.59%,14.39,140000.0,8.15
2002.48,2002.48,905.09,82.48,IPCA,0.0215,27.46,1398.74,CDB IPCA + 9.59%,14.39,140000.0,8.15
73131.2,71373.15,8287.95,13.14,CDI,0.0222,6.35,67091.45,LCI/LCA 0.54% CDI,14.39,220000.0,0.65
68534.99,67273.37,5046.45,8.11,CDI,0.0222,4.11,64781.48,LCI/LCA 0.52% CDI,14.39,230000.0,0.65
69349.97,67933.06,5667.63,9.1,CDI,0.0222,4.59,65124.85,LCI/LCA 0.52% CDI,14.39,220000.0,0.65
1396.47,1337.0,337.0,33.7,CDI,0.0222,14.93,1149.29,LCI/LCA 0.55% CDI,14.39,180000.0,0.65
1140.75,1116.12,116.12,11.61,CDI,0.0215,5.46,1054.62,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1140.75,1116.12,116.12,11.61,CDI,0.0215,5.46,1054.62,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1141.36,1116.62,116.62,11.66,CDI,0.0222,5.65,1056.48,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
12219.62,11831.19,1831.19,18.31,CDI,0.0222,8.69,10868.66,LCI/LCA 86.62% CDI,14.38,200000.0,105.0
1496.38,1421.92,421.92,42.19,CDI,0.0222,18.23,1182.32,LCI/LCA 89.25% CDI,14.38,170000.0,105.0
1709.72,1603.26,603.26,60.33,CDI,0.0222,24.97,1249.65,LCI/LCA 89.25% CDI,14.38,150000.0,105.0
1069.48,1055.59,55.59,5.56,CDI,0.0222,2.83,1028.31,LCI/LCA 84.0% CDI,14.38,230000.0,105.0
1141.96,1117.12,117.12,11.71,CDI,0.0222,5.67,1056.71,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
13075.64,12614.29,2614.29,26.14,CDI,0.0222,11.79,11178.79,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
1707.9,1601.72,601.72,60.17,CDI,0.0222,24.91,1249.1,LCI/LCA 89.25% CDI,14.38,150000.0,105.0
13033.88,12578.79,2578.79,25.79,CDI,0.0222,11.64,11163.94,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
7477.91,7106.22,2106.22,42.12,CDI,0.0222,18.21,5910.31,LCI/LCA 89.25% CDI,14.38,170000.0,105.0
13068.67,12608.37,2608.37,26.08,CDI,0.0222,11.76,11176.32,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
17079.0,16017.15,6017.15,60.17,CDI,0.0222,24.91,12491.0,LCI/LCA 89.25% CDI,14.38,150000.0,105.0
6537.82,6307.15,1307.15,26.14,CDI,0.0222,11.79,5589.4,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
1068.91,1055.13,55.13,5.51,CDI,0.0222,2.81,1028.08,LCI/LCA 84.0% CDI,14.38,230000.0,105.0
13075.64,12614.29,2614.29,26.14,CDI,0.0222,11.83,11182.95,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
13068.67,12608.37,2608.37,26.08,CDI,0.0222,11.8,11180.46,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
14868.36,14138.11,4138.11,41.38,CDI,0.0222,17.98,11798.33,LCI/LCA 89.25% CDI,14.38,170000.0,105.0
1.02,1.02,0.02,2.0,CDI,0.0222,0.94,1.01,LCI/LCA 81.38% CDI,14.38,240000.0,105.0
1.03,1.03,0.03,3.0,CDI,0.0222,1.41,1.01,LCI/LCA 81.38% CDI,14.38,240000.0,105.0
1142.57,1117.62,117.62,11.76,CDI,0.0222,5.71,1057.14,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
22863.65,22362.51,2362.51,11.81,CDI,0.0222,5.74,21147.54,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
24491.41,23705.41,3705.41,18.53,CDI,0.0222,8.81,21762.69,LCI/LCA 86.62% CDI,14.38,200000.0,105.0
26151.27,25228.58,5228.58,26.14,CDI,0.0222,11.83,22365.89,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
28013.09,26811.13,6811.13,34.06,CDI,0.0222,15.08,23016.48,LCI/LCA 89.25% CDI,14.38,180000.0,105.0
29911.62,28424.88,8424.88,42.12,CDI,0.0222,18.27,23654.43,LCI/LCA 89.25% CDI,14.38,170000.0,105.0
34176.22,32049.79,12049.79,60.25,CDI,0.0222,25.03,25006.09,LCI/LCA 89.25% CDI,14.38,150000.0,105.0
39090.5,36226.93,16226.93,81.13,CDI,0.0222,32.23,26446.74,LCI/LCA 89.25% CDI,14.38,130000.0,105.0
44663.77,40964.2,20964.2,104.82,CDI,0.0222,39.79,27957.96,LCI/LCA 89.25% CDI,14.38,110000.0,105.0
11425.73,11176.23,1176.23,11.76,CDI,0.0222,5.71,10571.42,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
53.39,52.63,2.63,5.26,CDI,0.0222,2.77,51.39,LCI/LCA 81.38% CDI,14.38,230000.0,105.0
1068.91,1055.13,55.13,5.51,CDI,0.0222,2.82,1028.17,LCI/LCA 84.0% CDI,14.38,230000.0,105.0
1143.18,1118.13,118.13,11.81,CDI,0.0222,5.74,1057.38,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
22863.65,22362.51,2362.51,11.81,CDI,0.0222,5.74,21147.54,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
26151.27,25228.58,5228.58,26.14,CDI,0.0222,11.83,22365.89,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
28013.09,26811.13,6811.13,34.06,CDI,0.0222,15.08,23016.48,LCI/LCA 89.25% CDI,14.38,180000.0,105.0
29911.62,28424.88,8424.88,42.12,CDI,0.0222,18.27,23654.43,LCI/LCA 89.25% CDI,14.38,170000.0,105.0
34176.22,32049.79,12049.79,60.25,CDI,0.0222,25.03,25006.09,LCI/LCA 89.25% CDI,14.38,150000.0,105.0
39090.5,36226.93,16226.93,81.13,CDI,0.0222,32.23,26446.74,LCI/LCA 89.25% CDI,14.38,130000.0,105.0
44663.77,40964.2,20964.2,104.82,CDI,0.0222,39.79,27957.96,LCI/LCA 89.25% CDI,14.38,110000.0,105.0
5700.7,5560.56,560.56,11.21,CDI,0.0222,5.62,5281.01,LCI/LCA 84.0% CDI,14.38,220000.0,105.0
1306.87,1260.84,260.84,26.08,CDI,0.0222,11.8,1118.05,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
1067.2,1052.08,52.08,5.21,CDI,0.0222,2.75,1027.49,LCI/LCA 81.38% CDI,14.38,230000.0,105.0
24491.41,23705.41,3705.41,18.53,CDI,0.0222,8.81,21762.69,LCI/LCA 86.62% CDI,14.38,200000.0,105.0
1142.57,1117.62,117.62,11.76,CDI,0.0222,5.71,1057.14,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1220.66,1182.04,182.04,18.2,CDI,0.0222,8.67,1086.68,LCI/LCA 86.62% CDI,14.38,200000.0,105.0
1952.44,1809.58,809.58,80.96,CDI,0.0222,32.17,1321.75,LCI/LCA 89.25% CDI,14.38,130000.0,105.0
1495.58,1421.24,421.24,42.12,CDI,0.0222,18.27,1182.72,LCI/LCA 89.25% CDI,14.38,170000.0,105.0
1393.21,1334.23,334.23,33.42,CDI,0.0222,14.83,1148.27,LCI/LCA 89.25% CDI,14.38,180000.0,105.0
1142.57,1117.62,117.62,11.76,CDI,0.0222,5.71,1057.14,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1142.57,1117.62,117.62,11.76,CDI,0.0222,5.71,1057.14,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1306.87,1260.84,260.84,26.08,CDI,0.0222,11.8,1118.05,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
1142.57,1117.62,117.62,11.76,CDI,0.0222,5.71,1057.14,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1.14,1.12,0.12,12.0,CDI,0.0222,5.71,1.06,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1306.87,1260.84,260.84,26.08,CDI,0.0222,11.8,1118.05,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
1952.44,1809.58,809.58,80.96,CDI,0.0222,32.17,1321.75,LCI/LCA 89.25% CDI,14.38,130000.0,105.0
1306.87,1260.84,260.84,26.08,CDI,0.0222,11.8,1118.05,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
1393.21,1334.23,334.23,33.42,CDI,0.0222,14.83,1148.27,LCI/LCA 89.25% CDI,14.38,180000.0,105.0
1142.57,1117.62,117.62,11.76,CDI,0.0222,5.71,1057.14,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1142.57,1117.62,117.62,11.76,CDI,0.0222,5.71,1057.14,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1220.66,1182.04,182.04,18.2,CDI,0.0222,8.67,1086.68,LCI/LCA 86.62% CDI,14.38,200000.0,105.0
1142.57,1117.62,117.62,11.76,CDI,0.0222,5.71,1057.14,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1306.87,1260.84,260.84,26.08,CDI,0.0222,11.8,1118.05,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
1495.58,1421.24,421.24,42.12,CDI,0.0222,18.27,1182.72,LCI/LCA 89.25% CDI,14.38,170000.0,105.0
1.14,1.12,0.12,12.0,CDI,0.0222,5.71,1.06,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1142.57,1117.62,117.62,11.76,CDI,0.0222,5.71,1057.14,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
5722.01,5595.66,595.66,11.91,CDI,0.0222,5.78,5289.24,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1068342.52,1054674.01,54674.01,5.47,CDI,0.0222,2.79,1027945.56,LCI/LCA 84.0% CDI,14.38,230000.0,105.0
570373.7,558058.3,58058.3,11.61,CDI,0.0222,5.64,528218.62,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
130.2,125.67,25.67,25.67,CDI,0.0222,11.63,111.63,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
13019.99,12566.99,2566.99,25.67,CDI,0.0222,11.63,11163.08,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
5700.7,5578.08,578.08,11.56,CDI,0.0222,5.62,5281.01,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
5700.7,5578.08,578.08,11.56,CDI,0.0222,5.62,5281.01,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
58.45,56.97,6.97,13.94,CDI,0.0222,6.73,53.36,LCI/LCA 86.62% CDI,14.38,210000.0,105.0
106.83,105.47,5.47,5.47,CDI,0.0222,2.79,102.79,LCI/LCA 84.0% CDI,14.38,230000.0,105.0
1143.18,1118.13,118.13,11.81,CDI,0.0222,5.74,1057.38,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1142.57,1117.62,117.62,11.76,CDI,0.0222,5.71,1057.14,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
22851.47,22352.46,2352.46,11.76,CDI,0.0222,5.71,21142.84,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
26039.97,25133.98,5133.98,25.67,CDI,0.0222,11.63,22326.15,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
27983.24,26785.75,6785.75,33.93,CDI,0.0222,15.03,23006.25,LCI/LCA 89.25% CDI,14.38,180000.0,105.0
29736.72,28276.21,8276.21,41.38,CDI,0.0222,17.98,23596.67,LCI/LCA 89.25% CDI,14.38,170000.0,105.0
33922.09,31833.77,11833.77,59.17,CDI,0.0222,24.64,24928.4,LCI/LCA 89.25% CDI,14.38,150000.0,105.0
38717.17,35909.59,15909.59,79.55,CDI,0.0222,31.71,26341.14,LCI/LCA 89.25% CDI,14.38,130000.0,105.0
11425.73,11176.23,1176.23,11.76,CDI,0.0222,5.71,10571.42,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
1068.34,1054.67,54.67,5.47,CDI,0.0222,2.79,1027.95,LCI/LCA 84.0% CDI,14.38,230000.0,105.0
9767.42,9052.3,4052.3,81.05,CDI,0.0222,32.2,6610.22,LCI/LCA 89.25% CDI,14.38,130000.0,105.0
13068.67,12608.37,2608.37,26.08,CDI,0.0222,11.8,11180.46,LCI/LCA 89.25% CDI,14.38,190000.0,105.0
1142.57,1117.62,117.62,11.76,CDI,0.0222,5.71,1057.14,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
11401.39,11156.15,1156.15,11.56,CDI,0.0222,5.62,10562.02,LCI/LCA 86.62% CDI,14.38,220000.0,105.0
24439.24,23662.37,3662.37,18.31,CDI,0.0222,8.72,21743.35,LCI/LCA 86.62% CDI,14.38,200000.0,105.0
1389.67,1331.22,331.22,33.12,PRÉ,0.0211,13.94,1139.42,LCI/LCA 12.21% PRÉ,14.36,180000.0,14.36
1301.57,1256.33,256.33,25.63,PRÉ,0.0211,11.02,1110.2,LCI/LCA 12.21% PRÉ,14.36,190000.0,14.36
1067.61,1054.09,54.09,5.41,CDI,0.0215,2.68,1026.83,LCI/LCA 83.8% CDI,14.34,230000.0,104.75
1067.61,1054.09,54.09,5.41,CDI,0.0215,2.68,1026.83,LCI/LCA 83.8% CDI,14.34,230000.0,104.75
14932.4,14192.54,4192.54,41.93,CDI,0.0222,18.18,11818.01,LCI/LCA 89.02% CDI,14.34,170000.0,104.73
11403.18,11122.55,1122.55,11.23,CDI,0.0222,5.64,10564.37,LCI/LCA 83.76% CDI,14.34,220000.0,104.7
12199.65,11814.71,1814.71,18.15,CDI,0.0222,8.67,10866.84,LCI/LCA 86.38% CDI,14.34,200000.0,104.7
1706.63,1600.64,600.64,60.06,CDI,0.0222,25.03,1250.3,LCI/LCA 89.04% CDI,14.34,150000.0,104.75
1706.63,1600.64,600.64,60.06,CDI,0.0222,25.03,1250.3,LCI/LCA 89.04% CDI,14.34,150000.0,104.75
1069.88,1055.9,55.9,5.59,CDI,0.0222,2.86,1028.63,LCI/LCA 83.8% CDI,14.34,230000.0,104.75
22854.23,22354.74,2354.74,11.77,CDI,0.0222,5.74,21147.54,LCI/LCA 0.49% CDI,14.33,220000.0,0.6
26129.68,25210.22,5210.22,26.05,CDI,0.0222,11.83,22365.89,LCI/LCA 0.51% CDI,14.33,190000.0,0.6
27984.03,26786.42,6786.42,33.93,CDI,0.0222,15.08,23016.48,LCI/LCA 0.51% CDI,14.33,180000.0,0.6
29874.55,28393.37,8393.37,41.97,CDI,0.0222,18.27,23654.43,LCI/LCA 0.51% CDI,14.33,170000.0,0.6
34119.86,32001.88,12001.88,60.01,CDI,0.0222,25.03,25006.09,LCI/LCA 0.51% CDI,14.33,150000.0,0.6
39009.88,36158.4,16158.4,80.79,CDI,0.0222,32.23,26446.74,LCI/LCA 0.51% CDI,14.33,130000.0,0.6
24476.13,23692.81,3692.81,18.46,CDI,0.0222,8.81,21762.69,LCI/LCA 0.49% CDI,14.33,200000.0,0.6
3139.47,3139.47,2149.46,217.11,IPCA,0.0215,59.65,1580.58,CDB IPCA + 9.51%,14.32,79000.0,8.08
3139.47,3139.47,2149.46,217.11,IPCA,0.0215,59.65,1580.58,CDB IPCA + 9.51%,14.32,79000.0,8.08
1046.18,1035.79,35.79,3.58,CDI,0.0222,1.91,1019.07,LCI/LCA 81.06% CDI,14.32,240000.0,104.6
1043.36,1033.61,33.61,3.36,CDI,0.0215,1.74,1017.37,LCI/LCA 80.99% CDI,14.31,240000.0,104.5
1043.36,1033.61,33.61,3.36,CDI,0.0215,1.74,1017.37,LCI/LCA 80.99% CDI,14.31,240000.0,104.5
1393.23,1334.24,334.24,33.42,CDI,0.0222,14.85,1148.5,LCI/LCA 88.83% CDI,14.31,180000.0,104.5
12188.55,11805.55,1805.55,18.06,CDI,0.0222,8.61,10861.44,LCI/LCA 86.21% CDI,14.31,210000.0,104.5
1492.72,1418.81,418.81,41.88,CDI,0.0222,18.21,1182.06,LCI/LCA 88.83% CDI,14.31,170000.0,104.5
5712.27,5587.63,587.63,11.75,CDI,0.0222,5.72,5285.9,LCI/LCA 86.21% CDI,14.31,220000.0,104.5
1033.44,1025.92,25.92,2.59,CDI,0.0222,1.38,1013.83,LCI/LCA 80.99% CDI,14.31,240000.0,104.5
22849.09,22350.5,2350.5,11.75,CDI,0.0222,5.72,21143.62,LCI/LCA 86.21% CDI,14.31,220000.0,104.5
1141.85,1117.03,117.03,11.7,CDI,0.0222,5.69,1056.95,LCI/LCA 86.21% CDI,14.31,220000.0,104.5
11418.49,11170.25,1170.25,11.7,CDI,0.0222,5.69,10569.47,LCI/LCA 86.21% CDI,14.31,220000.0,104.5
24467.8,23685.94,3685.94,18.43,CDI,0.0222,8.78,21756.58,LCI/LCA 86.21% CDI,14.31,200000.0,104.5
12996.74,12472.31,2472.31,24.72,CDI,0.0222,11.61,11160.6,LCI/LCA 86.21% CDI,14.31,190000.0,104.5
14840.31,14114.26,4114.26,41.14,CDI,0.0222,17.98,11798.33,LCI/LCA 88.83% CDI,14.31,170000.0,104.5
11442.75,11190.27,1190.27,11.9,CDI,0.0222,5.81,10580.82,LCI/LCA 86.21% CDI,14.31,220000.0,104.5
1068.01,1054.41,54.41,5.44,CDI,0.0222,2.79,1027.95,LCI/LCA 83.6% CDI,14.31,230000.0,104.5
11430.61,11180.25,1180.25,11.8,CDI,0.0222,5.76,10576.12,LCI/LCA 86.21% CDI,14.31,220000.0,104.5
1141.85,1117.03,117.03,11.7,CDI,0.0222,5.71,1057.14,LCI/LCA 86.21% CDI,14.31,220000.0,104.5
1305.9,1260.01,260.01,26.0,CDI,0.0222,11.83,1118.29,LCI/LCA 88.83% CDI,14.31,190000.0,104.5
1141.85,1117.03,117.03,11.7,CDI,0.0222,5.71,1057.14,LCI/LCA 86.21% CDI,14.31,220000.0,104.5
1492.72,1418.81,418.81,41.88,CDI,0.0222,18.27,1182.72,LCI/LCA 88.83% CDI,14.31,170000.0,104.5
1704.46,1598.79,598.79,59.88,CDI,0.0222,25.03,1250.3,LCI/LCA 88.83% CDI,14.31,150000.0,104.5
1068.01,1054.41,54.41,5.44,CDI,0.0222,2.79,1027.95,LCI/LCA 83.6% CDI,14.31,230000.0,104.5
1068.01,1054.41,54.41,5.44,CDI,0.0222,2.79,1027.95,LCI/LCA 83.6% CDI,14.31,230000.0,104.5
1068.01,1054.41,54.41,5.44,CDI,0.0222,2.79,1027.95,LCI/LCA 83.6% CDI,14.31,230000.0,104.5
1068.01,1054.41,54.41,5.44,CDI,0.0222,2.79,1027.95,LCI/LCA 83.6% CDI,14.31,230000.0,104.5
1068.01,1054.41,54.41,5.44,CDI,0.0222,2.79,1027.95,LCI/LCA 83.6% CDI,14.31,230000.0,104.5
1492.72,1418.81,418.81,41.88,CDI,0.0222,18.27,1182.72,LCI/LCA 88.83% CDI,14.31,170000.0,104.5
1068.01,1054.41,54.41,5.44,CDI,0.0222,2.79,1027.95,LCI/LCA 83.6% CDI,14.31,230000.0,104.5
1141.85,1117.03,117.03,11.7,CDI,0.0222,5.71,1057.14,LCI/LCA 86.21% CDI,14.31,220000.0,104.5
1704.46,1598.79,598.79,59.88,CDI,0.0222,25.03,1250.3,LCI/LCA 88.83% CDI,14.31,150000.0,104.5
801004.76,790803.81,40803.81,5.44,CDI,0.0222,2.79,770959.17,LCI/LCA 83.6% CDI,14.31,230000.0,104.5
285008.12,278881.7,28881.7,11.55,CDI,0.0222,5.64,264109.31,LCI/LCA 86.21% CDI,14.31,220000.0,104.5
11394.28,11150.28,1150.28,11.5,CDI,0.0222,5.62,10562.02,LCI/LCA 86.21% CDI,14.31,220000.0,104.5
1033.99,1026.34,26.34,2.63,CDI,0.0222,1.41,1014.1,LCI/LCA 80.99% CDI,14.31,240000.0,104.5
8454.73,7936.52,2936.52,58.73,CDI,0.0222,24.61,6230.71,LCI/LCA 88.83% CDI,14.31,150000.0,104.5
5696.78,5574.85,574.85,11.5,CDI,0.0222,5.62,5281.01,LCI/LCA 86.17% CDI,14.3,220000.0,104.45
5339.89,5271.91,271.91,5.44,PRÉ,0.0222,2.79,5139.73,LCI/LCA 11.44% PRÉ,14.3,230000.0,14.3
2239.07,2066.39,978.53,89.95,PRÉ,0.0222,35.33,1472.16,LCI/LCA 12.16% PRÉ,14.3,120000.0,14.3
2329.44,2147.29,1032.21,92.57,PRÉ,0.0222,36.17,1518.42,LCI/LCA 12.16% PRÉ,14.3,120000.0,14.3
13068.76,13068.76,12069.59,1207.96,IPCA,0.0215,184.16,2839.29,CDB IPCA + 9.47%,14.29,19000.0,8.05
13068.76,13068.76,12069.59,1207.96,IPCA,0.0215,184.16,2839.29,CDB IPCA + 9.47%,14.29,19000.0,8.05
1069.07,1055.25,55.25,5.53,PRÉ,0.0222,2.83,1028.31,LCI/LCA 11.43% PRÉ,14.29,230000.0,14.29
1142.77,1117.78,117.78,11.78,CDI,0.0222,5.74,1057.42,LCI/LCA 86.05% CDI,14.28,220000.0,104.3
1390.08,1331.57,331.57,33.16,CDI,0.0222,14.83,1148.27,LCI/LCA 0.47% CDI,14.28,180000.0,0.55
1390.08,1331.57,331.57,33.16,CDI,0.0222,14.83,1148.27,LCI/LCA 0.47% CDI,14.28,180000.0,0.55
96985.44,91456.2,31332.33,52.11,CDI,0.0222,22.23,73488.0,LCI/LCA 0.47% CDI,14.28,150000.0,0.55
1031.72,1024.59,24.59,2.46,CDI,0.0215,1.28,1012.78,LCI/LCA 80.79% CDI,14.27,240000.0,104.25
1031.72,1024.59,24.59,2.46,CDI,0.0215,1.28,1012.78,LCI/LCA 80.79% CDI,14.27,240000.0,104.25
3481.7,3481.7,2495.86,253.17,IPCA,0.0215,67.07,1647.07,CDB IPCA + 9.45%,14.27,71000.0,8.03
3481.7,3481.7,2495.86,253.17,IPCA,0.0215,67.07,1647.07,CDB IPCA + 9.45%,14.27,71000.0,8.03
52.86,52.21,2.21,4.42,PRÉ,0.0222,2.36,51.18,LCI/LCA 11.06% PRÉ,14.27,240000.0,14.27
10672.4,10521.11,521.11,5.21,CDI,0.0222,2.77,10277.17,LCI/LCA 80.76% CDI,14.26,230000.0,104.2
6614.51,6614.51,5679.17,607.18,IPCA,0.0215,121.84,2074.98,CDB IPCA + 9.42%,14.25,35000.0,8.01
6614.51,6614.51,5679.17,607.18,IPCA,0.0215,121.84,2074.98,CDB IPCA + 9.42%,14.25,35000.0,8.01
1067.75,1054.2,54.2,5.42,PRÉ,0.0222,2.79,1027.95,LCI/LCA 11.4% PRÉ,14.25,230000.0,14.25
1343.9,1315.53,113.48,9.44,PRÉ,0.0222,4.8,1259.77,LCI/LCA 11.4% PRÉ,14.25,220000.0,14.25
1217.06,1179.07,179.07,17.91,CDI,0.0222,8.59,1085.9,LCI/LCA 85.8% CDI,14.23,210000.0,104.0
38903.45,36067.94,16067.94,80.34,CDI,0.0222,32.2,26439.77,LCI/LCA 88.4% CDI,14.23,130000.0,104.0
1304.92,1259.18,259.18,25.92,CDI,0.0222,11.81,1118.13,LCI/LCA 88.4% CDI,14.23,190000.0,104.0
1068.8,1055.04,55.04,5.5,CDI,0.0222,2.83,1028.31,LCI/LCA 83.2% CDI,14.23,230000.0,104.0
11399.2,11154.34,1154.34,11.54,CDI,0.0222,5.65,10564.79,LCI/LCA 85.8% CDI,14.23,220000.0,104.0
1139.92,1115.43,115.43,11.54,CDI,0.0222,5.65,1056.48,LCI/LCA 85.8% CDI,14.23,220000.0,104.0
22846.6,22348.45,2348.45,11.74,CDI,0.0222,5.74,21148.3,LCI/LCA 85.8% CDI,14.23,220000.0,104.0
13035.41,12580.1,2580.1,25.8,CDI,0.0222,11.76,11176.32,LCI/LCA 88.4% CDI,14.23,190000.0,104.0
26098.36,25183.61,5183.61,25.92,CDI,0.0222,11.81,22362.54,LCI/LCA 88.4% CDI,14.23,190000.0,104.0
29812.95,28341.0,8341.0,41.7,CDI,0.0222,18.23,23646.49,LCI/LCA 88.4% CDI,14.23,170000.0,104.0
34056.23,31947.79,11947.79,59.74,CDI,0.0222,25.02,25004.15,LCI/LCA 88.4% CDI,14.23,150000.0,104.0
44323.41,40674.89,20674.89,103.37,CDI,0.0222,39.63,27926.86,LCI/LCA 88.4% CDI,14.23,110000.0,104.0
38841.87,36015.59,16015.59,80.08,CDI,0.0222,32.11,26422.2,LCI/LCA 88.4% CDI,14.23,130000.0,104.0
33984.37,31886.71,11886.71,59.43,CDI,0.0222,24.91,24982.0,LCI/LCA 88.4% CDI,14.23,150000.0,104.0
26084.58,25171.9,5171.9,25.86,CDI,0.0222,11.79,22357.58,LCI/LCA 88.4% CDI,14.23,190000.0,104.0
27908.62,26722.33,6722.33,33.61,CDI,0.0222,15.0,23000.65,LCI/LCA 88.4% CDI,14.23,180000.0,104.0
29797.21,28327.63,8327.63,41.64,CDI,0.0222,18.21,23641.25,LCI/LCA 88.4% CDI,14.23,170000.0,104.0
84335.14,79184.87,29184.87,58.37,CDI,0.0222,24.52,62261.61,LCI/LCA 88.4% CDI,14.23,150000.0,104.0
1303.54,1258.01,258.01,25.8,CDI,0.0222,11.76,1117.63,LCI/LCA 88.4% CDI,14.23,190000.0,104.0
14898.6,14163.81,4163.81,41.64,CDI,0.0222,18.21,11820.62,LCI/LCA 88.4% CDI,14.23,170000.0,104.0
1068.23,1054.59,54.59,5.46,CDI,0.0222,2.81,1028.08,LCI/LCA 83.2% CDI,14.23,230000.0,104.0
53.44,52.75,2.75,5.5,CDI,0.0222,2.84,51.42,LCI/LCA 83.2% CDI,14.23,230000.0,104.0
24444.22,23666.48,3666.48,18.33,CDI,0.0222,8.81,21762.69,LCI/LCA 85.8% CDI,14.23,200000.0,104.0
22834.54,22338.5,2338.5,11.69,CDI,0.0222,5.74,21147.54,LCI/LCA 85.8% CDI,14.23,220000.0,104.0
27923.36,26734.86,6734.86,33.67,CDI,0.0222,15.08,23016.48,LCI/LCA 88.4% CDI,14.23,180000.0,104.0
26084.58,25171.9,5171.9,25.86,CDI,0.0222,11.83,22365.89,LCI/LCA 88.4% CDI,14.23,190000.0,104.0
29797.21,28327.63,8327.63,41.64,CDI,0.0222,18.27,23654.43,LCI/LCA 88.4% CDI,14.23,170000.0,104.0
34002.32,31901.97,11901.97,59.51,CDI,0.0222,25.03,25006.09,LCI/LCA 88.4% CDI,14.23,150000.0,104.0
38841.87,36015.59,16015.59,80.08,CDI,0.0222,32.23,26446.74,LCI/LCA 88.4% CDI,14.23,130000.0,104.0
12183.45,11801.34,1801.34,18.01,CDI,0.0222,8.67,10866.84,LCI/LCA 85.8% CDI,14.23,210000.0,104.0
11393.18,11149.37,1149.37,11.49,CDI,0.0222,5.64,10564.37,LCI/LCA 85.8% CDI,14.23,220000.0,104.0
1.01,1.01,0.01,1.0,CDI,0.0222,0.47,1.0,LCI/LCA 80.6% CDI,14.23,250000.0,104.0
1.02,1.02,0.02,2.0,CDI,0.0222,0.94,1.01,LCI/LCA 80.6% CDI,14.23,240000.0,104.0
12980.46,12458.88,2458.88,24.59,CDI,0.0222,11.61,11160.6,LCI/LCA 85.8% CDI,14.23,190000.0,104.0
1067.67,1054.14,54.14,5.41,CDI,0.0222,2.79,1027.95,LCI/LCA 83.2% CDI,14.23,230000.0,104.0
1067.11,1052.01,52.01,5.2,CDI,0.0222,2.77,1027.72,LCI/LCA 80.6% CDI,14.23,230000.0,104.0
1034.37,1026.64,26.64,2.66,CDI,0.0222,1.43,1014.33,LCI/LCA 80.6% CDI,14.23,240000.0,104.0
1057.01,1044.18,44.18,4.42,CDI,0.0222,2.36,1023.61,LCI/LCA 80.6% CDI,14.23,240000.0,104.0
