tir,vir,dc,du,rbd,rbm,rba,rbp,rlp,rld,rlm,rla
15.0,632.08,1445,995,0.061454,1.2985,16.74,84.28,71.64,0.054307,1.15,14.66
15.0,43.01,1080,744,0.060946,1.2877,16.6,57.35,48.75,0.053385,1.13,14.4
15.0,84.46,1800,1238,0.060946,1.2877,16.6,112.61,95.72,0.054255,1.15,14.65
15.0,87.61,1095,755,0.060946,1.2877,16.6,58.41,49.65,0.053405,1.13,14.4
15.0,172.62,1825,1257,0.060946,1.2877,16.6,115.08,97.82,0.054286,1.15,14.66
15.0,87.61,1095,755,0.060946,1.2877,16.6,58.41,49.65,0.053405,1.13,14.4
15.0,172.62,1825,1257,0.060946,1.2877,16.6,115.08,97.82,0.054286,1.15,14.66
15.0,4.3,1080,744,0.060946,1.2877,16.6,57.35,48.75,0.053385,1.13,14.4
15.0,844.56,1800,1238,0.060946,1.2877,16.6,112.61,95.72,0.054255,1.15,14.65
15.0,220.93,2160,1486,0.060946,1.2877,16.6,147.29,125.19,0.054644,1.15,14.76
15.0,169.49,1805,1241,0.060946,1.2877,16.6,113.0,96.05,0.05426,1.15,14.65
15.0,53.3,727,499,0.060946,1.2877,16.6,35.53,30.2,0.052901,1.12,14.26
15.0,224.57,2190,1506,0.060786,1.2843,16.55,149.72,127.26,0.054525,1.15,14.72
15.0,224.57,2190,1506,0.060786,1.2843,16.55,149.72,127.26,0.054525,1.15,14.72
15.0,8.35,1800,1238,0.060438,1.2769,16.45,111.28,94.58,0.053786,1.14,14.51
15.0,834.57,1800,1238,0.060438,1.2769,16.45,111.28,94.58,0.053786,1.14,14.51
0.0,0.0,3867,2659,0.060205,1.2719,16.38,395.48,395.48,0.060205,1.27,16.38
0.0,0.0,3867,2659,0.060205,1.2719,16.38,395.48,395.48,0.060205,1.27,16.38
15.0,0.26,2482,1706,0.060205,1.2719,16.38,179.21,152.33,0.054267,1.15,14.65
0.0,0.0,1367,941,0.060205,1.2719,16.38,76.18,76.18,0.060205,1.27,16.38
15.0,0.26,2482,1706,0.060205,1.2719,16.38,179.21,152.33,0.054267,1.15,14.65
0.0,0.0,1367,941,0.060205,1.2719,16.38,76.18,76.18,0.060205,1.27,16.38
15.0,8.58,1092,752,0.060184,1.2715,16.37,57.22,48.63,0.052715,1.11,14.2
15.0,425.57,1085,747,0.060184,1.2715,16.37,56.74,48.23,0.052705,1.11,14.2
15.0,168.86,1825,1257,0.060011,1.2678,16.32,112.57,95.69,0.053422,1.13,14.41
15.0,168.86,1825,1257,0.060011,1.2678,16.32,112.57,95.69,0.053422,1.13,14.41
15.0,85.51,1093,753,0.05993,1.2661,16.3,57.01,48.46,0.052488,1.11,14.14
15.0,25.89,721,495,0.05993,1.2661,16.3,34.52,29.34,0.051995,1.1,14.0
15.0,2.59,721,495,0.05993,1.2661,16.3,34.52,29.34,0.051995,1.1,14.0
15.0,4.29,1095,755,0.05993,1.2661,16.3,57.2,48.62,0.052492,1.11,14.14
15.0,6.09,1442,992,0.05993,1.2661,16.3,81.18,69.0,0.052912,1.12,14.26
15.0,421.24,1080,744,0.05993,1.2661,16.3,56.17,47.74,0.052472,1.11,14.13
15.0,421.24,1080,744,0.05993,1.2661,16.3,56.17,47.74,0.052472,1.11,14.13
15.0,608.04,1440,991,0.05993,1.2661,16.3,81.07,68.91,0.052911,1.12,14.26
15.0,6080.44,1440,991,0.05993,1.2661,16.3,81.07,68.91,0.052911,1.12,14.26
15.0,8246.42,1800,1238,0.05993,1.2661,16.3,109.95,93.46,0.053318,1.13,14.38
15.0,4.22,1081,745,0.05993,1.2661,16.3,56.26,47.82,0.052474,1.11,14.13
15.0,52.27,727,499,0.05993,1.2661,16.3,34.85,29.62,0.052003,1.1,14.0
15.0,83.81,1080,744,0.059676,1.2607,16.22,55.87,47.49,0.052244,1.1,14.07
15.0,419.03,1080,744,0.059676,1.2607,16.22,55.87,47.49,0.052244,1.1,14.07
0.0,0.0,2253,1546,0.059623,1.2596,16.21,151.3,151.3,0.059623,1.26,16.21
0.0,0.0,2253,1546,0.059623,1.2596,16.21,151.3,151.3,0.059623,1.26,16.21
15.0,245.96,2310,1585,0.059623,1.2596,16.21,157.21,133.63,0.053552,1.13,14.44
15.0,245.96,2310,1585,0.059623,1.2596,16.21,157.21,133.63,0.053552,1.13,14.44
15.0,218.27,2203,1512,0.059422,1.2553,16.15,145.52,123.69,0.053261,1.12,14.36
15.0,84.89,1095,755,0.059422,1.2553,16.15,56.6,48.11,0.052035,1.1,14.01
15.0,1663.2,1826,1256,0.059422,1.2553,16.15,110.88,94.25,0.052877,1.12,14.25
15.0,848.95,1095,755,0.059422,1.2553,16.15,56.6,48.11,0.052035,1.1,14.01
15.0,84.89,1095,755,0.059422,1.2553,16.15,56.6,48.11,0.052035,1.1,14.01
15.0,84.89,1095,755,0.059422,1.2553,16.15,56.6,48.11,0.052035,1.1,14.01
15.0,84.89,1095,755,0.059422,1.2553,16.15,56.6,48.11,0.052035,1.1,14.01
15.0,2.56,721,495,0.059422,1.2553,16.15,34.19,29.06,0.051546,1.09,13.87
15.0,5.24,732,504,0.059422,1.2553,16.15,34.9,29.67,0.051564,1.09,13.87
15.0,4168.25,1080,744,0.059422,1.2553,16.15,55.58,47.24,0.052016,1.1,14.0
15.0,51.28,721,495,0.059422,1.2553,16.15,34.19,29.06,0.051546,1.09,13.87
15.0,258.78,727,499,0.059422,1.2553,16.15,34.5,29.33,0.051554,1.09,13.87
15.0,846.7,1095,755,0.059295,1.2526,16.11,56.45,47.98,0.051921,1.1,13.97
15.0,831.45,1080,744,0.059295,1.2526,16.11,55.43,47.12,0.051901,1.1,13.97
15.0,66.84,900,623,0.059168,1.2499,16.07,44.56,37.87,0.051565,1.09,13.87
15.0,84.45,1095,755,0.059168,1.2499,16.07,56.3,47.85,0.051807,1.09,13.94
15.0,66.84,900,623,0.059168,1.2499,16.07,44.56,37.87,0.051565,1.09,13.87
15.0,84.45,1095,755,0.059168,1.2499,16.07,56.3,47.85,0.051807,1.09,13.94
15.0,84.45,1095,755,0.059168,1.2499,16.07,56.3,47.85,0.051807,1.09,13.94
15.0,51.6,730,502,0.058914,1.2445,16.0,34.4,29.24,0.051111,1.08,13.74
15.0,51.84,734,504,0.058914,1.2445,16.0,34.56,29.38,0.051115,1.08,13.74
15.0,82.49,1080,744,0.058914,1.2445,16.0,54.99,46.74,0.051559,1.09,13.87
15.0,118.57,1440,989,0.058914,1.2445,16.0,79.05,67.19,0.051982,1.1,13.99
15.0,161.0,1800,1238,0.058914,1.2445,16.0,107.33,91.23,0.052381,1.11,14.11
15.0,51.01,721,497,0.058914,1.2445,16.0,34.01,28.91,0.051101,1.08,13.74
