,ticks
408,EKTR3
409,BRGE12
410,COCE3
411,PATI3
412,ODER4
413,ELET5
414,CEEB5
415,BGIP3
416,BALM3
417,BAUH4
418,RPAD3
419,BDLL3
420,EQPA7
421,BRGE3
422,ESTR3
423,AHEB6
424,PARD3
425,CASN3
426,WLMM3
427,CSRN6
428,MAPT4
429,CEED3
430,CEED4
431,GPAR3
432,MTSA3
433,BRGE8
434,MAPT3
435,DMFN3
436,SOND6
437,MRSA5B
438,WIZS3
439,LLIS3
440,MSPA3
441,BRML3
442,DMMO3
443,EQPA5
444,GETT3
445,GETT4
446,SULA4
447,SULA3
448,CTKA3
449,BRGE5
450,CRPG3
451,MRSA3B
452,CEPE5
453,MERC3
454,TCNO4
455,TCNO3
456,CEPE6
457,BKBR3
458,MTIG4
459,BLUT4
460,BLUT3
461,MODL4
462,CARD3
463,SHUL3
464,FIGE3
465,FNCN3
466,TEKA3
467,HETA3
468,LCAM3
469,BIDI4
470,BIDI3
471,EEEL4
472,EEEL3
473,BBRK3
474,SOND3
475,CEGR3
476,CESP6
477,CESP3
478,CESP5
479,ECPR4
480,MOSI3
481,POWE3
482,EQPA6
483,ECPR3
484,GNDI3
485,LAME4
486,LAME3
487,OMGE3
488,IGTA3
489,JPSA3
490,BRDT3
491,JBDU4
492,JBDU3
493,HGTX3
494,CCPR3
495,DTEX3
496,VVAR3
497,PNVL4
498,TESA3
499,BTOW3
500,LINX3
501,BTTL3
502,GPCP3
503,GPCP4
504,SMLS3
505,MMXM3
506,BSEV3
507,CNTO3
508,TIET4
509,TIET3
510,CORR4
511,CEPE3
512,CALI4
513,SNSY6
514,CASN4
515,EMAE3
516,BPAR3
517,APTI4
518,VSPT3
519,MTIG3
520,FIGE4
521,LUXM3
522,TKNO3
523,COCE6
524,MGEL3
525,CTSA8
526,MMAQ4
