,ticks
0,AAPL34
1,AMZO34
2,CHVX34
3,COCA34
4,CSCO34
5,CTGP34
6,CVSH34
7,DISB34
8,EXXO34
9,GEOO34
10,GOGL34
11,GSGI34
12,IBMB34
13,ITLC34
14,JNJB34
15,JPMC34
16,M1TA34
17,MELI34
18,MMMC34
19,MSBR34
20,MSFT34
21,NIKE34
22,ORCL34
23,PEPB34
24,PGCO34
25,TLNC34
26,TSLA34
27,ULEV34
28,UNHH34
29,VISA34
30,WFCO34
31,XPBR31
